,id,description,A,B,C,D,answer,tag
0,0,cfcd208495d565ef66e7dff9f98764da,d88c146dfa,4c769c2c99,9c5959e6f0,0e3e06c992,D,Cpp_class
1,1,c4ca4238a0b923820dcc509a6f75849b,27f237e6b7,c9512565ef,1a2ddc2db4,4a4079e06e,C,Cpp_class
2,2,c81e728d9d4c2f636f067f89cc14862c,c6bdf6f65f,bbd97b00c5,f1a543f5a2,c4d62b6dcc,A,C_class
3,3,eccbc87e4b5ce2fe28308fd9f2a7baf3,6593d7b12f,0c4ecd7b59,3abe124ecc,a3deb6e481,A,Cpp_class
4,4,a87ff679a2f3e71d9181a67b7542122c,0c2f3adf2a,d5d4cc7b09,b713e6323a,2521dc256a,D,Cpp_class
5,5,e4da3b7fbbce2345d7772b0674a318d5,c6f2f93133,2a1ab298ed,fea813d4dd,ea8ea3bfaa,D,Cpp_class
6,6,1679091c5a880faf6fb5e6087eb1b2dc,0b3d5609ee,68b1f1cc15,7e8b9f5cab,e06ae0fa0b,C,C_class
7,7,8f14e45fceea167a5a36dedd4bea2543,be523bdcc1,d8498108dd,517d42f048,94f5a64e61,D,C_class
8,8,c9f0f895fb98ab9159f51fd0297e236d,fd301d675b,c897976b22,727999d580,b1522194d7,A,C_class
9,9,45c48cce2e2d7fbdea1afc51c7c6ad26,8650e375ee,18fc90be5b,ef59a1297d,adb7bf1cff,C,C_class
10,10,d3d9446802a44259755d38e6d163e820,4657042965,5224d572f0,da1627473e,77517d4226,C,C_class
11,11,6512bd43d9caa6e02c990b0a82652dca,f4ebc728df,c064aa5670,a42f23ef20,c0e3be4e63,A,C_class
12,12,c20ad4d76fe97759aa27a0c99bff6710,0b92b8b260,8acfe82785,e7ad657626,75b573a2a8,B,C_class
13,13,c51ce410c124a10e0db5e4b97fc2af39,f35b705e8c,ed90f7f584,57e79553e7,bc666a1cd3,B,Cpp_class
14,14,aab3238922bcc25a6f606eb525ffdc56,43ba9900ff,530dfc676c,546828ec00,b8f3d30bf1,C,C_class
15,15,9bf31c7ff062936a96d3c8bd1f8f2ff3,caba1ed05c,b76c543309,93650d3186,0cca06a7ff,D,C_class
16,16,c74d97b01eae257e44aa9d5bade97baf,e801be5386,f60787e369,707c4addc8,6fd9ec8164,A,Cpp_class
17,17,70efdf2ec9b086079795c442636b55fb,10c1cc2879,6af505c837,5e2a3da748,29bac384c7,A,Cpp_class
18,18,6f4922f45568161a8cdf4ad2299f6d23,bed96dd949,779643149d,c5a230c5d9,1ccf3b0199,C,C_class
19,19,1f0e3dad99908345f7439f8ffabdffc4,032aabba74,6cecdf4805,85b9734a9b,532430fb9f,C,Cpp_class
20,20,98f13708210194c475687be6106a3b84,ae80ae2c74,c643d6dc62,412ebb2097,ec01fa9a3a,D,Cpp_class
21,21,3c59dc048e8850243be8079a5c74d079,b0bdfa9f77,68cfc2e79b,5a90dccf02,0148f449e0,A,Cpp_class
22,22,b6d767d2f8ed5d21a44b0e5886680cb9,8d9352004d,5511176b4e,f1c9d16d7f,53972ad973,D,C_class
23,23,37693cfc748049e45d87b8c7d8b9aacd,75ec0f203a,b81dda53d8,83567cd28b,ab617fa473,D,C_class
24,24,1ff1de774005f8da13f42943881c655f,4c1af6c8c5,be75e0fdf2,78a1d6227c,a9281600c4,D,C_class
25,25,8e296a067a37563370ded05f5a3bf3ec,0e0ab78e0c,6620096eed,0bfa0b57d9,7f29523153,B,Cpp_class
26,26,4e732ced3463d06de0ca9a15b6153677,789fdcec52,82b2e12930,9ac31f8f5b,cf15111fbb,D,Cpp_class
27,27,02e74f10e0327ad868d138f2b4fdd6f0,0602cfb952,81c0878ed0,7c8fb65aa2,78f30630dc,C,Cpp_class
28,28,33e75ff09dd601bbe69f351039152189,3927572314,bd781b84cc,a62028e6e3,b2e2002d8c,C,Cpp_class
29,29,6ea9ab1baa0efb9e19094440c317e21b,7c9b46402f,4d129b4773,3a45040f5b,1b2e80021b,D,C_class
30,30,34173cb38f07f89ddbebc2ac9128303f,1d54842ba4,c5d93cf98d,9c5fd388a2,35277e8551,C,Cpp_class
31,31,c16a5320fa475530d9583c34fd356ef5,c992e491f2,23f3076cd3,62928517cc,7268f95df8,C,C_class
32,32,6364d3f0f495b6ab9dcf8d3b5c6e0b01,c5ea3be679,6d59be95a5,17d740c7d2,a6b2eecc42,B,Cpp_class
33,33,182be0c5cdcd5072bb1864cdee4d3d6e,ebc5d30b87,315ebcaa8e,859165eede,71ea1d52d4,B,C_class
34,34,e369853df766fa44e1ed0ff613f563bd,490c853c58,4157941471,46fc347155,71cee038db,A,C_class
35,35,1c383cd30b7c298ab50293adfecb7b18,011d2705a2,cde1ebd540,72efe71e2b,13fddc44f2,B,Cpp_class
36,36,19ca14e7ea6328a42e0eb13d585e4c22,f537202769,18b983048c,473fdc0c3d,a72b343c9a,B,Cpp_class
37,37,a5bfc9e07964f8dddeb95fc584cd965d,e754fcdaf9,4e7260bfb2,4ef2746bff,aebd0dcfb4,B,Cpp_class
38,38,a5771bce93e200c36f7cd9dfd0e5deaa,1e8673f80e,0041cbd02e,47b6e76668,4f3c87c0f4,B,C_class
39,39,d67d8ab4f4c10bf22aa353e27879133c,a083553bf1,8899d4cfb6,66aac59a54,72e257e6a4,B,C_class
40,40,d645920e395fedad7bbbed0eca3fe2e0,8e04935c40,d798b97477,744ba77812,01322033ff,B,C_class
41,41,3416a75f4cea9109507cacd8e2f2aefc,ff22d46617,58c94c31f1,ed7b85e4c9,0a028a9511,B,C_class
42,42,a1d0c6e83f027327d8461063f4ac58a6,ec1fb7dd7d,23cdf50ee7,f1361740d3,099d3b858e,A,C_class
43,43,17e62166fc8586dfa4d1bc0e1742c08b,2526470b6e,77be994132,d41cb846ad,48f05d1771,C,C_class
44,44,f7177163c833dff4b38fc8d2872f1ec6,18c47ff77d,a558b7189e,6a381dd549,e2971d77e9,C,C_class
45,45,6c8349cc7260ae62e3b1396831a8398f,8a7584733a,1a6f8d02f1,4fe9dde29d,a8a6eceaa2,C,Cpp_class
46,46,d9d4f495e875a2e075a1a4a6e1b9770f,1e5c585345,f75ba02752,b568d338df,afebb83e0e,D,Cpp_class
47,47,67c6a1e7ce56d3d6fa748ab6d9af3fd7,8f6d2c8047,3e3575e848,8c7c38e164,896559eac6,C,Cpp_class
