,id,description,answer,tag
0,0,cfcd208495d565ef66e7dff9f98764da ____ cfcd208495d565ef66e7dff9f98764da,cfcd2,C_class
1,1,c4ca4238a0b923820dcc509a6f75849b ____ c4ca4238a0b923820dcc509a6f75849b,c4ca4,Cpp_class
2,2,c81e728d9d4c2f636f067f89cc14862c ____ c81e728d9d4c2f636f067f89cc14862c,c81e7,Cpp_class
3,3,eccbc87e4b5ce2fe28308fd9f2a7baf3 ____ eccbc87e4b5ce2fe28308fd9f2a7baf3,eccbc,Cpp_class
4,4,a87ff679a2f3e71d9181a67b7542122c ____ a87ff679a2f3e71d9181a67b7542122c,a87ff,C_class
5,5,e4da3b7fbbce2345d7772b0674a318d5 ____ e4da3b7fbbce2345d7772b0674a318d5,e4da3,C_class
6,6,1679091c5a880faf6fb5e6087eb1b2dc ____ 1679091c5a880faf6fb5e6087eb1b2dc,16790,Cpp_class
7,7,8f14e45fceea167a5a36dedd4bea2543 ____ 8f14e45fceea167a5a36dedd4bea2543,8f14e,Cpp_class
8,8,c9f0f895fb98ab9159f51fd0297e236d ____ c9f0f895fb98ab9159f51fd0297e236d,c9f0f,Cpp_class
9,9,45c48cce2e2d7fbdea1afc51c7c6ad26 ____ 45c48cce2e2d7fbdea1afc51c7c6ad26,45c48,C_class
10,10,d3d9446802a44259755d38e6d163e820 ____ d3d9446802a44259755d38e6d163e820,d3d94,C_class
11,11,6512bd43d9caa6e02c990b0a82652dca ____ 6512bd43d9caa6e02c990b0a82652dca,6512b,C_class
12,12,c20ad4d76fe97759aa27a0c99bff6710 ____ c20ad4d76fe97759aa27a0c99bff6710,c20ad,Cpp_class
13,13,c51ce410c124a10e0db5e4b97fc2af39 ____ c51ce410c124a10e0db5e4b97fc2af39,c51ce,Cpp_class
14,14,aab3238922bcc25a6f606eb525ffdc56 ____ aab3238922bcc25a6f606eb525ffdc56,aab32,C_class
15,15,9bf31c7ff062936a96d3c8bd1f8f2ff3 ____ 9bf31c7ff062936a96d3c8bd1f8f2ff3,9bf31,C_class
16,16,c74d97b01eae257e44aa9d5bade97baf ____ c74d97b01eae257e44aa9d5bade97baf,c74d9,Cpp_class
17,17,70efdf2ec9b086079795c442636b55fb ____ 70efdf2ec9b086079795c442636b55fb,70efd,Cpp_class
18,18,6f4922f45568161a8cdf4ad2299f6d23 ____ 6f4922f45568161a8cdf4ad2299f6d23,6f492,Cpp_class
19,19,1f0e3dad99908345f7439f8ffabdffc4 ____ 1f0e3dad99908345f7439f8ffabdffc4,1f0e3,C_class
20,20,98f13708210194c475687be6106a3b84 ____ 98f13708210194c475687be6106a3b84,98f13,Cpp_class
21,21,3c59dc048e8850243be8079a5c74d079 ____ 3c59dc048e8850243be8079a5c74d079,3c59d,Cpp_class
22,22,b6d767d2f8ed5d21a44b0e5886680cb9 ____ b6d767d2f8ed5d21a44b0e5886680cb9,b6d76,Cpp_class
23,23,37693cfc748049e45d87b8c7d8b9aacd ____ 37693cfc748049e45d87b8c7d8b9aacd,37693,Cpp_class
24,24,1ff1de774005f8da13f42943881c655f ____ 1ff1de774005f8da13f42943881c655f,1ff1d,Cpp_class
25,25,8e296a067a37563370ded05f5a3bf3ec ____ 8e296a067a37563370ded05f5a3bf3ec,8e296,Cpp_class
26,26,4e732ced3463d06de0ca9a15b6153677 ____ 4e732ced3463d06de0ca9a15b6153677,4e732,C_class
27,27,02e74f10e0327ad868d138f2b4fdd6f0 ____ 02e74f10e0327ad868d138f2b4fdd6f0,02e74,C_class
28,28,33e75ff09dd601bbe69f351039152189 ____ 33e75ff09dd601bbe69f351039152189,33e75,Cpp_class
29,29,6ea9ab1baa0efb9e19094440c317e21b ____ 6ea9ab1baa0efb9e19094440c317e21b,6ea9a,C_class
30,30,34173cb38f07f89ddbebc2ac9128303f ____ 34173cb38f07f89ddbebc2ac9128303f,34173,Cpp_class
31,31,c16a5320fa475530d9583c34fd356ef5 ____ c16a5320fa475530d9583c34fd356ef5,c16a5,Cpp_class
32,32,6364d3f0f495b6ab9dcf8d3b5c6e0b01 ____ 6364d3f0f495b6ab9dcf8d3b5c6e0b01,6364d,C_class
33,33,182be0c5cdcd5072bb1864cdee4d3d6e ____ 182be0c5cdcd5072bb1864cdee4d3d6e,182be,Cpp_class
34,34,e369853df766fa44e1ed0ff613f563bd ____ e369853df766fa44e1ed0ff613f563bd,e3698,Cpp_class
35,35,1c383cd30b7c298ab50293adfecb7b18 ____ 1c383cd30b7c298ab50293adfecb7b18,1c383,C_class
36,36,19ca14e7ea6328a42e0eb13d585e4c22 ____ 19ca14e7ea6328a42e0eb13d585e4c22,19ca1,C_class
