,id,description,answer,tag
0,0,"cfcd208495d565ef66e7dff9f98764da

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",cfcd2,Cpp_class
1,1,"c4ca4238a0b923820dcc509a6f75849b

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c4ca4,Cpp_class
2,2,"c81e728d9d4c2f636f067f89cc14862c

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c81e7,C_class
3,3,"eccbc87e4b5ce2fe28308fd9f2a7baf3

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",eccbc,Cpp_class
4,4,"a87ff679a2f3e71d9181a67b7542122c

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",a87ff,Cpp_class
5,5,"e4da3b7fbbce2345d7772b0674a318d5

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",e4da3,C_class
6,6,"1679091c5a880faf6fb5e6087eb1b2dc

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",16790,C_class
7,7,"8f14e45fceea167a5a36dedd4bea2543

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",8f14e,Cpp_class
8,8,"c9f0f895fb98ab9159f51fd0297e236d

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c9f0f,C_class
9,9,"45c48cce2e2d7fbdea1afc51c7c6ad26

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",45c48,Cpp_class
10,10,"d3d9446802a44259755d38e6d163e820

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",d3d94,Cpp_class
11,11,"6512bd43d9caa6e02c990b0a82652dca

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",6512b,Cpp_class
12,12,"c20ad4d76fe97759aa27a0c99bff6710

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c20ad,C_class
13,13,"c51ce410c124a10e0db5e4b97fc2af39

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c51ce,C_class
14,14,"aab3238922bcc25a6f606eb525ffdc56

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",aab32,Cpp_class
15,15,"9bf31c7ff062936a96d3c8bd1f8f2ff3

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",9bf31,Cpp_class
16,16,"c74d97b01eae257e44aa9d5bade97baf

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c74d9,Cpp_class
17,17,"70efdf2ec9b086079795c442636b55fb

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",70efd,Cpp_class
18,18,"6f4922f45568161a8cdf4ad2299f6d23

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",6f492,C_class
19,19,"1f0e3dad99908345f7439f8ffabdffc4

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",1f0e3,C_class
20,20,"98f13708210194c475687be6106a3b84

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",98f13,Cpp_class
21,21,"3c59dc048e8850243be8079a5c74d079

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",3c59d,C_class
22,22,"b6d767d2f8ed5d21a44b0e5886680cb9

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",b6d76,Cpp_class
23,23,"37693cfc748049e45d87b8c7d8b9aacd

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",37693,Cpp_class
24,24,"1ff1de774005f8da13f42943881c655f

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",1ff1d,Cpp_class
25,25,"8e296a067a37563370ded05f5a3bf3ec

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",8e296,C_class
26,26,"4e732ced3463d06de0ca9a15b6153677

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",4e732,C_class
27,27,"02e74f10e0327ad868d138f2b4fdd6f0

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",02e74,Cpp_class
28,28,"33e75ff09dd601bbe69f351039152189

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",33e75,Cpp_class
29,29,"6ea9ab1baa0efb9e19094440c317e21b

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",6ea9a,C_class
30,30,"34173cb38f07f89ddbebc2ac9128303f

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",34173,C_class
31,31,"c16a5320fa475530d9583c34fd356ef5

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",c16a5,Cpp_class
32,32,"6364d3f0f495b6ab9dcf8d3b5c6e0b01

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",6364d,Cpp_class
33,33,"182be0c5cdcd5072bb1864cdee4d3d6e

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",182be,Cpp_class
34,34,"e369853df766fa44e1ed0ff613f563bd

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",e3698,Cpp_class
35,35,"1c383cd30b7c298ab50293adfecb7b18

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",1c383,Cpp_class
36,36,"19ca14e7ea6328a42e0eb13d585e4c22

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",19ca1,Cpp_class
37,37,"a5bfc9e07964f8dddeb95fc584cd965d

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",a5bfc,Cpp_class
38,38,"a5771bce93e200c36f7cd9dfd0e5deaa

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",a5771,C_class
39,39,"d67d8ab4f4c10bf22aa353e27879133c

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",d67d8,Cpp_class
40,40,"d645920e395fedad7bbbed0eca3fe2e0

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",d6459,Cpp_class
41,41,"3416a75f4cea9109507cacd8e2f2aefc

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",3416a,C_class
42,42,"a1d0c6e83f027327d8461063f4ac58a6

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",a1d0c,C_class
43,43,"17e62166fc8586dfa4d1bc0e1742c08b

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",17e62,C_class
44,44,"f7177163c833dff4b38fc8d2872f1ec6

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",f7177,Cpp_class
45,45,"6c8349cc7260ae62e3b1396831a8398f

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",6c834,Cpp_class
46,46,"d9d4f495e875a2e075a1a4a6e1b9770f

#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d %d"",&a, &b);
    printf(""%d
"",a+b);
    return 0;
}
",d9d4f,Cpp_class
